tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,marketValue,turnoverRate,rank_type
1022579200,189,2,[61],6,247,USD,Vale S A,VALE240119P00017000,VALE,NYSE,OPRA,1,derivative,2023-10-27T23:52:30.097+0000,2023-10-27T23:52:30.097+0000,A,4.15,-0.25,-0.0568,2002,,,United States,US,5.1246,13.03,19.31,12.22,13.20,13.69,13.19,0.0384,,02/14-02/19,13.48,-0.01,-0.0007,VALE,7,913324268,put,0,100,2024-01-19,17,1,4.15,100,3,dr,187975,3.98,7808.45,0,0.3364,,58592369640,0.0118,position
1037697047,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115C00019000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,2.92,0.34,0.1318,3881,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-11-15,19,0,2.92,100,3,dr,185412,2.87,8380.22,-169,0.9206,1.0,,,position
1036506356,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231215P00070000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.51,0.06,0.1333,29533,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-12-15,70,1,0.51,100,3,dr,177565,0.48,14948.12,3267,0.1058,,,,position
1018450133,189,1,,6,247,USD,S&P 500,SPX231215P04000000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,65.24,4.77,0.0789,7587,,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2023-12-15,4000,0,65.24,100,3,dr,176555,65.40,462250.10,2788,0.2059,1.0,,,position
1036002697,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231117P00070000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.12,0.01,0.0909,11045,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-11-17,70,1,0.12,100,3,dr,176243,0.12,1259.52,3415,0.1076,,,,position
1037697054,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115C00025000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,1.05,0.12,0.1290,52542,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-11-15,25,0,1.05,100,3,dr,175688,1.01,53649.53,-3223,1.2091,1.0,,,position
1037697048,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115P00018000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.44,-0.20,-0.3125,18491,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,put,0,100,2023-11-15,18,0,0.44,100,3,dr,175026,0.46,8852.62,13991,0.8790,1.0,,,position
1037776204,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115C00017000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,4.37,0.65,0.1747,149,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-11-15,17,0,4.37,100,3,dr,172686,4.25,608.47,-2100,0.8359,1.0,,,position
1031285760,189,3,"[1, 34]",6,247,USD,VanEck Gold Miners ETF,GDX240119C00055000,GDX,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:44.033+0000,2023-10-27T23:58:44.033+0000,A,0.03,0.01,0.5000,100,17876418916,11516439154,United States,US,0.0000,28.52,36.26,22.58,28.64,29.22,28.32,0.0314,,,29.35,0.15,0.0051,GDX,7,913244540,call,0,100,2024-01-19,55,1,0.03,100,3,dr,168879,0.03,3.00,-2,0.5716,,,,position
1037449563,189,2,[61],6,247,USD,Ford Mtr Co Del,F250117P00009350,F,NYSE,OPRA,1,derivative,2023-10-27T23:59:55.256+0000,2023-10-27T23:59:55.256+0000,A,1.30,0.43,0.4943,1912,,,United States,US,9.7019,11.35,15.42,9.90,10.93,10.97,9.90,0.0943,2023-10-26,10/25-10/31,9.98,0.02,0.0020,F,7,913255275,put,0,100,2025-01-17,9.35,1,1.30,100,3,dr,163092,1.19,2379.38,4,0.3774,,39862166995,0.0467,position
1034757770,189,3,"[1, 34]",6,247,USD,iShares MSCI Emerging Markets ETF,EEM250117C00045000,EEM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:26:44.709+0000,2023-10-27T23:26:44.709+0000,A,0.87,-0.07,-0.0745,10004,24465162009,16278429441,United States,US,0.0000,36.56,42.53,33.92,36.89,36.95,36.47,0.0130,,,36.55,0.02,0.0005,EEM,7,913243879,call,0,100,2025-01-17,45,1,0.87,100,3,dr,162977,0.87,8403.40,0,0.1855,,,,position
