tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,netAsset,totalAsset,rank_type
1039704068,189,1,,6,247,USD,S&P 500,SPX231215P04130000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,108.50,8.68,0.0870,,7566,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2023-12-15,4130,0,108.50,100,3,dr,1828,108.30,871035.25,-5,0.1867,1.0,,,turnover
1037992137,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231117P00185000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,22.73,3.07,0.1562,,37202,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-11-17,185,1,22.73,100,3,dr,5559,22.87,857719.60,0,0.2163,,41592328473,46769065197,turnover
1042028079,189,1,,6,247,USD,S&P 500,SPXW231207P05000000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,837.94,0.00,0.0000,,1000,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPXW,7,913354362,put,1,100,2023-12-07,5000,,837.94,100,2,dr,0,861.75,837940.00,0,0.1902,2.0,,,turnover
1018462905,189,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY231215P00450000,SPY,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,40.51,2.76,0.0731,,20503,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,410.40,-0.28,-0.0007,SPY,7,913243251,put,0,100,2023-12-15,450,1,40.51,100,3,dr,19527,39.35,829905.00,-1708,0.1452,,307954340358,382413660519,turnover
1035077028,189,1,,6,247,USD,S&P 500,SPX240119P04200000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,162.02,12.57,0.0841,,5230,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2024-01-19,4200,0,162.02,100,3,dr,16891,160.30,799719.00,1029,0.1743,1.0,,,turnover
1023429224,189,1,,6,247,USD,S&P 500,SPX241220P05500000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,1125.15,35.75,0.0328,,693,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2024-12-20,5500,0,1125.15,100,3,dr,752,1129.00,780284.40,0,0.1318,1.0,,,turnover
1023429208,189,1,,6,247,USD,S&P 500,SPX241220C04200000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,381.50,-25.75,-0.0632,,1803,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2024-12-20,4200,0,381.50,100,3,dr,9303,387.65,697681.30,0,0.1955,1.0,,,turnover
1018562588,189,1,,6,247,USD,S&P 500,SPX231215C00300000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,3831.17,0.15,0.0000,,182,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2023-12-15,300,0,3831.17,100,3,dr,94,3808.35,696573.56,6,2.0110,1.0,,,turnover
1035609212,189,1,,6,247,USD,S&P 500,SPX231117C04000000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,156.84,-34.27,-0.1793,,4153,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2023-11-17,4000,0,156.84,100,3,dr,70213,159.45,690492.70,1703,0.2159,1.0,,,turnover
1018450130,189,1,,6,247,USD,S&P 500,SPX231215P04100000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,96.27,9.17,0.1053,,7216,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2023-12-15,4100,0,96.27,100,3,dr,58991,96.60,649222.56,-182,0.1912,1.0,,,turnover
1037980188,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231117P00180000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,18.00,3.38,0.2312,,35926,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-11-17,180,1,18.00,100,3,dr,10932,17.87,647225.30,-106,0.2056,,41592328473,46769065197,turnover
1018504723,189,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY231215P00475000,SPY,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,65.04,5.89,0.0996,,9702,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,410.40,-0.28,-0.0007,SPY,7,913243251,put,0,100,2023-12-15,475,1,65.04,100,3,dr,2003,64.34,629439.06,-1,0.1594,,307954340358,382413660519,turnover
