tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pchRatio,pprice,pchange,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,netAsset,totalAsset,rank_type
1041572845,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103P00100000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,16.60,1.80,0.1216,9964985100,520,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,put,1,100,2023-11-03,100,1,16.60,100,2,dr,25,17.25,8281.17,2,3.5729,,,,impVol
1041855602,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103P00103000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,18.30,2.12,0.1310,9964985100,182,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,put,1,100,2023-11-03,103,1,18.30,100,2,dr,2,18.75,3328.20,0,3.5585,,,,impVol
1041298243,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231117C00001000,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.01,-0.01,-0.5000,51585658,286,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,0,100,2023-11-17,1,1,0.01,100,3,dr,4670,0.02,5.80,367,3.5525,,,,impVol
1041303422,189,2,[61],6,247,USD,Atara Biotherape,ATRA231117C00002500,ATRA,NASDAQ,OPRA,1,derivative,2023-10-27T23:38:45.828+0000,2023-10-27T23:38:45.828+0000,A,0.19,-0.06,-0.2400,126377690,107,0.0119,United States,US,-0.4252,1.340,5.64,1.240,1.350,1.350,1.240,0.0821,,11/06-11/10,0.0240,1.280,0.030,ATRA,7,913255896,call,0,100,2023-11-17,2.5,1,0.19,100,3,dr,536,0.18,19.55,26,3.5483,,,,impVol
1041558345,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103C00120000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,16.29,-0.71,-0.0418,9964985100,524,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,call,1,100,2023-11-03,120,1,16.29,100,2,dr,128,16.40,9740.56,0,3.4834,,,,impVol
1041311825,189,2,[61],6,247,USD,Wework Inc,WE231117P00002000,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.55,0.08,0.1702,128727123,320,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,put,0,100,2023-11-17,2,1,0.55,100,3,dr,15600,0.55,187.67,-5,3.4612,,,,impVol
1037488821,189,2,[61],6,247,USD,Replimune Group,REPL231117P00012500,REPL,NASDAQ,OPRA,1,derivative,2023-10-27T23:52:48.966+0000,2023-10-27T23:52:48.966+0000,A,3.53,0.16,0.0475,801170107,528,0.0088,United States,US,-4.5789,14.64,29.52,13.41,14.64,15.18,13.55,0.1113,,11/01-11/06,0.0007,13.59,0.01,REPL,7,950061749,put,0,100,2023-11-17,12.5,1,3.53,100,3,dr,7600,3.55,1859.88,154,3.3886,,,,impVol
1041545769,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103C00160000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,5.20,-2.00,-0.2778,9964985100,103,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,call,1,100,2023-11-03,160,1,5.20,100,2,dr,1029,5.40,597.09,382,3.3394,,,,impVol
1042022003,189,2,[61],6,247,USD,Ebix Inc,EBIX231103P00003500,EBIX,NASDAQ,OPRA,1,derivative,2023-10-27T20:02:12.987+0000,2023-10-27T20:02:12.987+0000,A,0.14,-0.02,-0.1250,170575948,132,0.0278,United States,US,5.0763,5.56,32.87,5.12,5.60,5.67,5.41,0.0459,,11/07-11/13,0.0000,5.52,0.00,EBIX,7,913256838,put,1,100,2023-11-03,3.5,,0.14,100,2,dr,119,0.15,23.91,11,3.3301,,,,impVol
1037475022,189,2,[61],6,247,USD,Replimune Group,REPL231117C00017500,REPL,NASDAQ,OPRA,1,derivative,2023-10-27T23:52:48.966+0000,2023-10-27T23:52:48.966+0000,A,3.00,-0.80,-0.2105,801170107,682,0.0088,United States,US,-4.5789,14.64,29.52,13.41,14.64,15.18,13.55,0.1113,,11/01-11/06,0.0007,13.59,0.01,REPL,7,950061749,call,0,100,2023-11-17,17.5,1,3.00,100,3,dr,12510,2.95,4087.99,2568,3.3275,,,,impVol
1041486422,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103C00165000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,4.60,-2.10,-0.3134,9964985100,536,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,call,1,100,2023-11-03,165,1,4.60,100,2,dr,683,4.05,2487.69,546,3.3238,,,,impVol
1041686503,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231124C00001000,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.02,-0.01,-0.3333,51585658,235,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,1,100,2023-11-24,1,1,0.02,100,2,dr,517,0.02,4.70,164,3.2874,,,,impVol
1041628760,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231110P00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.26,0.02,0.0833,51585658,240,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,put,1,100,2023-11-10,0.5,1,0.26,100,2,dr,514,0.25,56.14,300,3.2767,,,,impVol
1041632647,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231110C00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.03,-0.01,-0.2500,51585658,909,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,1,100,2023-11-10,0.5,1,0.03,100,2,dr,4103,0.03,27.17,1216,3.2767,,,,impVol
1041210517,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231117C00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.03,-0.04,-0.5714,51585658,441,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,0,100,2023-11-17,0.5,1,0.03,100,3,dr,5375,0.03,17.03,59,3.2438,,,,impVol
1041282943,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231117P00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.26,0.01,0.0400,51585658,143,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,put,0,100,2023-11-17,0.5,1,0.26,100,3,dr,2171,0.27,35.78,322,3.2438,,,,impVol
1041620535,189,1,,6,247,USD,CBOE Market Volatility Index,VIXW231101C00055000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.03,0.01,0.5000,,126,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIXW,7,925323875,call,1,100,2023-11-01,55,0,0.03,100,2,dr,146,5.00,2.50,26,3.1704,1.0,,,impVol
1041024306,189,2,[61],6,247,USD,Ebix Inc,EBIX231117P00002500,EBIX,NASDAQ,OPRA,1,derivative,2023-10-27T20:02:12.987+0000,2023-10-27T20:02:12.987+0000,A,0.20,0.00,0.0000,170575948,126,0.0278,United States,US,5.0763,5.56,32.87,5.12,5.60,5.67,5.41,0.0459,,11/07-11/13,0.0000,5.52,0.00,EBIX,7,913256838,put,0,100,2023-11-17,2.5,,0.20,100,3,dr,1876,0.23,25.15,5,3.1619,,,,impVol
1041769021,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231201C00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.07,-0.01,-0.1250,51585658,131,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,1,100,2023-12-01,0.5,1,0.07,100,2,dr,761,0.05,9.69,243,3.1392,,,,impVol
1037465855,189,2,[61],6,247,USD,Replimune Group,REPL231117C00025000,REPL,NASDAQ,OPRA,1,derivative,2023-10-27T23:52:48.966+0000,2023-10-27T23:52:48.966+0000,A,1.49,-0.31,-0.1722,801170107,621,0.0088,United States,US,-4.5789,14.64,29.52,13.41,14.64,15.18,13.55,0.1113,,11/01-11/06,0.0007,13.59,0.01,REPL,7,950061749,call,0,100,2023-11-17,25,1,1.49,100,3,dr,4708,1.43,2458.35,7,3.1263,,,,impVol
1041559923,189,2,[61],6,247,USD,Canopy Growth Corp,CGC231103C00001000,CGC,NASDAQ,OPRA,1,derivative,2023-10-27T23:58:49.096+0000,2023-10-27T23:58:49.096+0000,A,0.01,0.00,0.0000,382894287,281,0.0320,United States,US,-0.2667,0.5182,4.770,0.3460,0.5260,0.5300,0.5000,0.0579,2023-11-09,11/07-11/13,0.0071,0.5103,0.0036,CGC,7,925307064,call,1,100,2023-11-03,1,1,0.01,100,2,dr,3184,0.01,2.81,194,3.1183,,,,impVol
1041556834,189,2,[61],6,247,USD,Canopy Growth Corp,CGC231103P00001000,CGC,NASDAQ,OPRA,1,derivative,2023-10-27T23:58:49.096+0000,2023-10-27T23:58:49.096+0000,A,0.50,0.03,0.0638,382894287,128,0.0320,United States,US,-0.2667,0.5182,4.770,0.3460,0.5260,0.5300,0.5000,0.0579,2023-11-09,11/07-11/13,0.0071,0.5103,0.0036,CGC,7,925307064,put,1,100,2023-11-03,1,1,0.50,100,2,dr,845,0.42,63.51,0,3.1183,,,,impVol
1038559039,189,2,[61],6,247,USD,Effector Therapeutics Inc,EFTR231215C00002500,EFTR,NASDAQ,OPRA,1,derivative,2023-10-27T23:19:54.577+0000,2023-10-27T23:19:54.577+0000,A,0.05,-0.05,-0.5000,32711070,148,0.0026,United States,US,-0.6100,0.5310,1.480,0.3378,0.5380,0.5400,0.5100,0.0527,,11/06-11/10,-0.0370,0.5100,-0.0196,EFTR,7,950181563,call,0,100,2023-12-15,2.5,1,0.05,100,3,dr,1970,0.08,7.00,1,3.0813,,,,impVol
1041979250,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231215C00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.07,-0.02,-0.2222,51585658,329,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,0,100,2023-12-15,0.5,1,0.07,100,3,dr,779,0.06,24.23,463,3.0529,,,,impVol
1041686568,189,2,[61],6,247,USD,Mullen Automotive Inc,MULN231124C00000500,MULN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:48.058+0000,2023-10-27T23:59:48.058+0000,A,0.04,-0.01,-0.2000,51585658,562,0.2367,United States,US,-0.0009,0.3136,132.32,0.2210,0.3200,0.3399,0.2766,0.2018,,01/11-01/15,-0.0007,0.2799,-0.0002,MULN,7,913253402,call,1,100,2023-11-24,0.5,1,0.04,100,2,dr,2300,0.04,23.76,49,3.0282,,,,impVol
1041212603,189,2,[61],6,247,USD,Altimmune,ALT231117C00006000,ALT,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:54.758+0000,2023-10-27T23:59:54.758+0000,A,0.10,0.01,0.1111,121705644,218,0.0196,United States,US,-1.9340,2.320,17.17,2.090,2.290,2.440,2.240,0.0862,,11/08-11/13,0.0173,2.350,0.040,ALT,7,925293492,call,0,100,2023-11-17,6,1,0.10,100,3,dr,151,0.08,21.80,4,3.0279,,,,impVol
1041479715,189,2,[61],6,247,USD,Ebix Inc,EBIX231103P00004000,EBIX,NASDAQ,OPRA,1,derivative,2023-10-27T20:02:12.987+0000,2023-10-27T20:02:12.987+0000,A,0.23,-0.04,-0.1481,170575948,227,0.0278,United States,US,5.0763,5.56,32.87,5.12,5.60,5.67,5.41,0.0459,,11/07-11/13,0.0000,5.52,0.00,EBIX,7,913256838,put,1,100,2023-11-03,4,1,0.23,100,2,dr,788,0.25,56.61,11,3.0053,,,,impVol
1041098873,189,2,[61],6,247,USD,Wework Inc,WE231215P00001500,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.45,0.05,0.1250,128727123,100,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,put,0,100,2023-12-15,1.5,,0.45,100,3,dr,1743,0.45,45.00,122,2.9949,,,,impVol
