tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,dt,position,volumeCallPutRatio,positionCallPutRatio,price,marketValue,turnoverRate,rank_type
950121423,11,2,[61],6,247,USD,Uber Technologies,UBER,UBER,NYSE,NYSE,1,stock,2023-10-27T23:59:53.555+0000,2023-10-27T23:59:53.555+0000,A,41.23,0.61,0.0150,98665,,,United States,US,-204.8187,40.62,49.49,23.90,41.21,42.15,40.80,0.0330,2023-11-07,,41.15,-0.08,-0.0019,sr,1263040,1.29,0.68,41.23,84254439024,0.0084,totalPosition
950188536,96,2,[61],6,247,USD,"Rivian Automotive, Inc. / De",RIVN,RIVN,NASDAQ,NSQ,1,stock,2023-10-27T23:59:50.318+0000,2023-10-27T23:59:50.318+0000,A,16.01,-0.16,-0.0099,95677,,,United States,US,-2.4784,16.17,36.45,11.68,16.71,16.81,15.93,0.0541,2023-11-07,,15.98,-0.03,-0.0019,sr,1237490,0.74,0.99,16.01,15179663619,0.0252,totalPosition
913243611,34,3,"[1, 34]",6,247,USD,SPDR® S&P Regional Banking ETF,KRE,KRE,NYSEARCA,PSE,1,etf,2023-10-27T22:51:41.206+0000,2023-10-27T22:51:41.206+0000,A,38.87,-0.85,-0.0214,85696,1270589475,2419157122,United States,US,0.0000,39.72,65.97,34.52,39.68,39.73,38.48,0.0313,,,38.91,0.04,0.0010,sr,1201855,3.97,1.98,38.87,,,totalPosition
913324093,11,2,[61],6,247,USD,Petroleo Brasileiro S.A. Petrobras,PBR,PBR,NYSE,NYSE,1,stock,2023-10-27T23:59:59.067+0000,2023-10-27T23:59:59.067+0000,A,15.33,-0.13,-0.0084,52729,,,United States,US,3.0599,15.46,16.55,8.88,15.97,16.07,15.26,0.0521,2023-10-31,,15.39,0.06,0.0039,sr,1187823,1.02,0.83,15.33,99983802673,0.0027,totalPosition
913324585,11,2,[61],6,247,USD,Exxon Mobil,XOM,XOM,NYSE,NYSE,1,stock,2023-10-27T23:58:12.188+0000,2023-10-27T23:58:12.188+0000,A,105.55,-2.05,-0.0191,155176,,,United States,US,8.4422,107.60,120.70,98.02,108.89,109.86,104.96,0.0455,2023-10-27,,105.57,0.02,0.0002,sr,1153776,0.76,0.73,105.55,422536998667,0.0058,totalPosition
950173643,96,2,[61],6,247,USD,Lucid Group Inc,LCID,LCID,NASDAQ,NSQ,1,stock,2023-10-27T23:59:41.607+0000,2023-10-27T23:59:41.607+0000,A,4.040,-0.030,-0.0074,40340,,,United States,US,-1.8796,4.070,17.81,3.980,4.110,4.170,4.010,0.0393,2023-11-07,,4.040,-0.000,-0.0000,sr,1150374,0.80,1.02,4.040,9221907054,0.0074,totalPosition
913253512,10,2,[61],6,247,USD,Marathon Digital Holdings Inc,MARA,MARA,NASDAQ,NAS,1,stock,2023-10-27T23:59:45.885+0000,2023-10-27T23:59:45.885+0000,A,8.86,-0.13,-0.0145,148289,,,United States,US,-2.1810,8.99,19.88,3.110,9.20,9.40,8.82,0.0647,2023-11-08,11/06-11/10,8.96,0.10,0.0113,sr,1128068,0.40,0.45,8.86,1874358153,0.1299,totalPosition
913255447,11,2,[61],6,247,USD,Jpmorgan Chase,JPM,JPM,NYSE,NYSE,1,stock,2023-10-27T23:58:51.655+0000,2023-10-27T23:58:51.655+0000,A,135.69,-5.07,-0.0360,147671,,,United States,US,8.1002,140.76,159.38,123.11,138.95,139.10,135.19,0.0278,2024-01-12,,135.63,-0.06,-0.0004,sr,1067248,1.09,1.05,135.69,394326710693,0.0060,totalPosition
913730084,11,2,[61],6,247,USD,Barrick Gold,GOLD,GOLD,NYSE,NYSE,1,stock,2023-10-27T23:59:06.843+0000,2023-10-27T23:59:06.843+0000,A,16.33,0.03,0.0018,62351,,,United States,US,-414.4670,16.30,20.75,13.01,16.23,16.42,15.84,0.0353,2023-11-02,,16.36,0.03,0.0018,sr,1066368,0.16,0.34,16.33,28666791411,0.0146,totalPosition
913255266,11,2,[61],6,247,USD,Energy Transfer L P,ET,ET,NYSE,NYSE,1,stock,2023-10-27T23:58:48.368+0000,2023-10-27T23:58:48.368+0000,A,13.11,-0.15,-0.0111,59524,,,United States,US,10.8914,13.26,14.15,11.37,13.26,13.32,13.05,0.0204,2023-11-01,,13.12,0.01,0.0008,sr,1050453,0.53,0.35,13.11,41231617888,0.0047,totalPosition
