bt_tickerId,bt_exchangeId,bt_type,bt_secType,bt_regionId,bt_currencyId,bt_currencyCode,bt_name,bt_symbol,bt_disSymbol,bt_disExchangeCode,bt_exchangeCode,bt_listStatus,bt_template,bt_tradeTime,bt_faTradeTime,bt_status,bt_close,bt_change,bt_changeRatio,bt_marketValue,bt_volume,bt_turnoverRate,bt_regionName,bt_regionIsoCode,bt_peTtm,bt_preClose,bt_fiftyTwoWkHigh,bt_fiftyTwoWkLow,bt_open,bt_high,bt_low,bt_vibrateRatio,bt_nextEarningDay,bt_estimateEarningsDate,bt_pchange,bt_pchRatio,bt_pprice,d_tickerId,d_exchangeId,d_regionId,d_symbol,d_unSymbol,d_tickerType,d_exchangeCode,d_belongTickerId,d_direction,d_weekly,d_quoteLotSize,d_expireDate,d_strikePrice,d_trdStatus,d_price,d_close,d_change,d_changeRatio,d_template,d_quoteMultiplier,d_cycle,v_dt,v_tickerId,v_volume,v_position,v_price,v_changeRatio,v_change,v_belongTickerId,v_middlePrice,v_turnover,v_positionChange,v_implVol,bt_netAsset,bt_totalAsset,d_expirationType,rank_type
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041847459,189,6,SPY231030C00411000,SPY,7,OPRA,913243251,call,1,100,2023-10-30,411,,1.90,1.90,-2.46,-0.5642,derivative,100,2,dr,1041847459,61548,1091,1.90,-0.5642,-2.46,913243251,1.89,129300.43,982,0.1365,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041822720,189,6,SPY231030P00413000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,413,1,3.30,3.30,0.86,0.3525,derivative,100,2,dr,1041822720,61266,5463,3.30,0.3525,0.86,913243251,3.31,147941.23,466,0.1319,307954340358,382228994273,,volume
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,,46017094,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,-0.20,-0.0012,162.01,1041538367,189,6,IWM231103P00160000,IWM,7,OPRA,913243073,put,1,100,2023-11-03,160,1,1.43,1.43,0.36,0.3364,derivative,100,2,dr,1041538367,60836,30896,1.43,0.3364,0.36,913243073,1.42,92307.14,-33,0.2708,41592328473,46987968789,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041846894,189,6,SPY231030P00411000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,411,1,2.15,2.15,0.41,0.2356,derivative,100,2,dr,1041846894,59256,5344,2.15,0.2356,0.41,913243251,2.16,121181.23,-203,0.1365,307954340358,382228994273,,volume
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,,46017094,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,-0.20,-0.0012,162.01,1041606592,189,6,IWM231103P00163000,IWM,7,OPRA,913243073,put,1,100,2023-11-03,163,1,2.60,2.60,0.66,0.3402,derivative,100,2,dr,1041606592,58907,48368,2.60,0.3402,0.66,913243073,2.71,160487.40,-1315,0.2575,41592328473,46987968789,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1038183342,189,6,SPY231215P00393000,SPY,7,OPRA,913243251,put,0,100,2023-12-15,393,1,5.31,5.31,0.56,0.1179,derivative,100,3,dr,1038183342,57586,14391,5.31,0.1179,0.56,913243251,5.38,300715.62,-864,0.2161,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041484093,189,6,SPY231103P00405000,SPY,7,OPRA,913243251,put,1,100,2023-11-03,405,1,2.40,2.40,0.58,0.3187,derivative,100,2,dr,1041484093,57233,35005,2.40,0.3187,0.58,913243251,2.40,143745.33,9973,0.2144,307954340358,382228994273,,volume
913243879,34,3,"[1, 34]",6,247,USD,iShares MSCI Emerging Markets ETF,EEM,EEM,NYSEARCA,PSE,1,etf,2023-10-27T23:26:44.709+0000,2023-10-27T23:26:44.709+0000,A,36.53,-0.03,-0.0008,,34216881,,United States,US,0.0000,36.56,42.53,33.92,36.89,36.95,36.47,0.0130,,,0.02,0.0005,36.55,1019640766,189,6,EEM231215P00035000,EEM,7,OPRA,913243879,put,0,100,2023-12-15,35,1,0.44,0.44,0.00,0.0000,derivative,100,3,dr,1019640766,56361,161188,0.44,0.0000,0.00,913243879,0.46,22623.87,-7500,0.2144,24465162009,16242798995,,volume
925323875,196,1,,6,247,USD,CBOE Market Volatility Index,VIX,VIX,CBOE,CBOE-CSMI,1,index,2023-10-27T20:15:01.236+0000,,B,21.27,0.59,0.0285,,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,1037697054,189,6,VIX231115C00025000,VIX,7,OPRA,925323875,call,0,100,2023-11-15,25,0,1.05,1.05,0.12,0.1290,derivative,100,3,dr,1037697054,52542,175688,1.05,0.1290,0.12,925323875,1.01,53649.53,-3223,1.2091,,,1.0,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1018462895,189,6,SPY231215P00390000,SPY,7,OPRA,913243251,put,0,100,2023-12-15,390,1,4.78,4.78,0.57,0.1354,derivative,100,3,dr,1018462895,50738,55117,4.78,0.1354,0.57,913243251,4.77,240132.44,861,0.2205,307954340358,382228994273,,volume
